日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/07/04,南投,PM2.5,3,4,2,1,4,8,6,6,11,13,11,10,12,11,7,2,2,2,3,3,5,5,1,5
2017/07/05,南投,PM2.5,7,3,1,1,3,5,2,2,3,4,-9#,9,10,11,16,19,15,16,21,18,15,17,18,18
2017/07/06,南投,PM2.5,21,20,14,13,12,10,12,10,10,13,14,,,23,24,,12,12,15,11,4,5,4,2
2017/07/07,南投,PM2.5,3,4,3,1,3,7,5,4,9,12,7,3,4,7,5,,,3,5,5,6,8,6,2
2017/07/08,南投,PM2.5,1,4,4,2,1,1,5,10,8,4,3,7,9,11,15,11,12,8,4,4,3,4,5,7
2017/07/09,南投,PM2.5,5,1,2,2,1,1,1,4,6,6,5,7,12,11,11,15,15,25,20,15,11,15,17,16
2017/07/10,南投,PM2.5,17,15,14,14,13,12,8,9,11,6,6,8,7,8,12,13,10,8,4,4,5,3,3,3
2017/07/11,南投,PM2.5,6,7,5,5,4,4,4,4,3,3,9,10,12,16,15,15,16,9,5,7,9,9,8,10
2017/07/12,南投,PM2.5,10,10,5,3,7,6,6,10,13,13,9,7,10,13,12,15,13,7,5,6,7,4,4,7
2017/07/13,南投,PM2.5,7,6,5,7,7,7,6,7,6,6,,1,11,12,16,14,9,8,14,21,19,14,9,12
2017/07/14,南投,PM2.5,15,20,23,18,14,13,15,16,14,14,18,22,22,20,19,16,13,9,7,4,5,9,10,7
2017/07/15,南投,PM2.5,6,8,10,12,14,11,8,8,9,12,15,16,15,14,14,16,15,14,10,8,8,9,6,3
2017/07/16,南投,PM2.5,7,7,5,5,5,8,11,10,10,12,15,22,25,20,20,18,13,16,16,11,10,9,8,7
2017/07/17,南投,PM2.5,7,6,7,6,5,8,10,5,2,5,9,9,12,18,26,35,36,33,27,27,33,34,30,29
2017/07/18,南投,PM2.5,29,29,27,22,17,12,7,9,12,15,13,16,24,26,23,17,17,18,19,18,17,17,15,13
2017/07/19,南投,PM2.5,16,18,16,16,12,8,10,15,18,20,25,30,29,28,30,,23,22,15,9,8,7,10,12
2017/07/20,南投,PM2.5,10,8,8,9,10,10,13,17,21,19,20,25,27,29,26,22,20,18,16,14,15,14,15,18
2017/07/21,南投,PM2.5,21,21,17,16,18,19,17,19,19,16,19,23,21,16,16,15,13,13,13,14,14,12,11,10
2017/07/22,南投,PM2.5,12,10,6,9,11,12,12,17,19,18,22,24,24,25,23,29,33,36,42,39,34,35,35,35
2017/07/23,南投,PM2.5,32,25,33,35,28,26,27,33,37,34,24,21,19,15,15,17,14,13,13,11,17,20,18,16
2017/07/24,南投,PM2.5,16,13,10,15,14,12,16,17,14,13,19,27,30,28,27,24,19,19,17,16,16,13,14,14
2017/07/25,南投,PM2.5,13,9,5,8,13,11,11,18,16,10,11,15,20,21,28,30,19,14,15,18,19,18,15,13
2017/07/26,南投,PM2.5,17,18,16,17,18,17,19,18,19,21,21,22,22,25,28,25,22,19,16,14,13,14,18,20
2017/07/27,南投,PM2.5,17,14,12,12,12,15,15,14,16,21,21,21,27,35,,35,33,26,23,23,23,28,27,26
2017/07/28,南投,PM2.5,26,24,23,24,23,23,25,26,29,34,35,44,48,46,48,48,46,48,48,57,61,53,50,50
2017/07/29,南投,PM2.5,55,53,51,52,50,52,52,42,27,30,37,37,36,39,41,39,30,21,17,20,18,10,5,2
2017/07/30,南投,PM2.5,5,8,6,4,3,4,6,6,6,8,11,12,14,17,13,8,8,12,14,14,13,12,10,10
